order,n_useful,d_min_um,d_max_um,median_abs_error_pct,max_abs_error_pct,rmse_pct
inverse,4,11.166582,111.665824,8.214308030130535,44.591300383170385,23.21550125401968
normal,4,11.166582,111.665824,5.730843696476246,12.908294772167817,7.971328154707198
