order,lambda_star,s_lambda_star,L_eff_um,L_eff_over_ls,chi2_ndf_exp
inverse,0.4278942311708955,0.013658688040875092,92.18730028193959,0.8255641402935604,2.8888754164252037
normal,0.5818882173581847,0.022228655744856152,68.68327785095158,0.6150787696152239,1.428813891756033
