order,z_true_um,m_s_true,w,lambda_loo,s_lambda_loo,d_hat_um,s_d_um,relative_error,useful_window,d_hat_over_ls,s_d_over_ls,classification
inverse,0.001117,1.000306052881089e-05,0.005354967981307095,0.427894158310137,0.013658686661469605,0.49498646157754544,2.990940079543525,,False,0.00443274801799652,0.026784740065998514,low sensitivity
inverse,11.166582,0.09999999610199657,0.16012276124145267,0.42947062655485685,0.01374976754377428,16.145906122153036,3.977428034001624,0.44591300383170385,True,0.14459129474699656,0.035619027191680884,inversion window
inverse,27.916456,0.24999999921028287,0.27155264939321455,0.4294309874500811,0.014248159073794666,29.31351846900132,3.391764904306439,0.05004440638888119,True,0.26251110076798223,0.03037424318466767,inversion window
inverse,55.832912,0.49999999842056575,0.4279022102558661,0.41697909795187804,0.01570394509133406,50.168327519442535,3.7875981907201313,-0.1014560100422035,True,0.4492719935597071,0.033919045622728815,inversion window
inverse,111.665824,0.9999999968411315,0.6865825223564852,0.41866232022636723,0.01684929409213828,104.64984346562807,6.970793788374263,-0.0628301505604072,True,0.9371698464791964,0.06242548988269179,inversion window
inverse,223.331649,2.000000002637554,0.9165336762615223,0.430775789690208,0.015659339340484735,230.47150948205024,17.964147603600637,0.03196976565578602,False,2.063939534033448,0.1608741771059179,saturated but defined
inverse,334.997473,2.999999999478686,1.0010952604512897,0.4371909203514415,0.014402827306868841,,,,False,,,undefined: w >= 1
inverse,558.329122,5.00000000211624,1.0713511962525355,0.4287680277478831,0.013677454539899134,,,,False,,,undefined: w >= 1
inverse,781.66077,6.999999995798503,0.9882232494281549,0.4278682503776151,0.013658283635063447,409.4368308709328,140.26336287433872,-0.4761962649463234,False,3.666626143174976,1.2560992916800149,saturated but defined
inverse,1116.658244,10.00000000423248,1.0321635589494131,0.427895682243537,0.013658714381665693,,,,False,,,undefined: w >= 1
normal,0.001117,1.000306052881089e-05,0.004567946797131304,0.5818881837759893,0.02222865445489989,0.3144603079974899,1.3565940682054238,,False,0.002816083701707616,0.012148695234811695,low sensitivity
normal,11.166582,0.09999999610199657,0.16470906267662083,0.5935017783335211,0.024704069057281182,12.607997320535832,1.2147139159367555,0.12908294772167817,True,0.11290829037099862,0.010878117122922354,inversion window
normal,27.916456,0.24999999921028287,0.32255369047375776,0.5795074081146148,0.02321310739641747,26.63754800807827,3.640229466847728,-0.04581197527084857,True,0.23854700542874924,0.03259931575258623,inversion window
normal,55.832912,0.49999999842056575,0.5420344448913529,0.5669787136052113,0.02803886897932859,52.264610749926945,4.102502565771522,-0.06391035542034873,True,0.4680448208113336,0.036739106074319176,inversion window
normal,111.665824,0.9999999968411315,0.7916071772989937,0.5726269190134593,0.026324697400656558,106.0036388285016,8.57402298831356,-0.05070651850917618,True,0.9492934784921305,0.07678287459938817,inversion window
normal,223.331649,2.000000002637554,1.0057195679411746,0.5882817034986532,0.02283246819290455,,,,False,,,undefined: w >= 1
normal,334.997473,2.999999999478686,1.0560853888119432,0.5838160317841106,0.022323974841789117,,,,False,,,undefined: w >= 1
normal,558.329122,5.00000000211624,1.006507109271003,0.581898169036379,0.022229101610505456,,,,False,,,undefined: w >= 1
normal,781.66077,6.999999995798503,1.0235892662412651,0.5818908036203608,0.022228754206175906,,,,False,,,undefined: w >= 1
normal,1116.658244,10.00000000423248,0.9521500983514479,0.5818881265249848,0.02222865227348202,208.7755803973332,46.15823281857221,-0.8130353834585282,False,1.8696461662060415,0.41336042684612634,saturated but defined
