order,z_um,m_s,m_star,w,w_sd,w_lo95,w_hi95,rms
inverse,0.001117,1.000306052881089e-05,5.184638825045698e-06,0.005354967981307095,0.03226998379868541,-0.055327721619205204,0.06737155002305052,0.005080026604031538
inverse,11.166582,0.09999999610199657,0.05183052334848384,0.16012276124145267,0.03579735551411278,0.07798448930005948,0.21872309081102423,0.013385160816955703
inverse,27.916456,0.24999999921028287,0.1295763130127842,0.27155264939321455,0.02558370692829716,0.22375903758245502,0.3175200087045098,0.021637130786713237
inverse,55.832912,0.49999999842056575,0.2591526260255684,0.4279022102558661,0.02090505959850055,0.3876381888852252,0.468299058762459,0.02278339418571975
inverse,111.665824,0.9999999968411315,0.5183052520511368,0.6865825223564852,0.019300911330597532,0.6437022179213465,0.7185847355748767,0.030273081454230102
inverse,223.331649,2.000000002637554,1.0366105087438482,0.9165336762615223,0.014291349675006426,0.8910125333719833,0.9470224096107867,0.017088817811048988
inverse,334.997473,2.999999999478686,1.554915760794985,1.0010952604512897,0.011453241908127432,0.97941742368275,1.0240931766247565,0.009683557149345774
inverse,558.329122,5.00000000211624,2.591526269538833,1.0713511962525355,0.02218412225011077,1.027499938203288,1.1135494180975947,0.0035562937698098897
inverse,781.66077,6.999999995798503,3.6281367736411063,0.9882232494281549,0.017841498527811743,0.9667766571837652,1.0351776270295578,0.0028383634257893847
inverse,1116.658244,10.00000000423248,5.183052539077666,1.0321635589494131,0.024735121819735712,0.9892419265370177,1.0872123343170244,0.005696523285649484
normal,0.001117,1.000306052881089e-05,9.463280715861862e-06,0.004567946797131304,0.01966045294523709,-0.04082568662551454,0.036923914696307104,0.0043739631550411065
normal,11.166582,0.09999999610199657,0.09460384968906911,0.16470906267662083,0.013062189739639254,0.14465602250171639,0.19484202996716862,0.009172963623862537
normal,27.916456,0.24999999921028287,0.23650963269472355,0.32255369047375776,0.03446878659280498,0.2654950290642632,0.3970571085310304,0.015289846309128836
normal,55.832912,0.49999999842056575,0.4730192653894471,0.5420344448913529,0.021801692397515293,0.4962764466736626,0.581258336649151,0.02266506399304094
normal,111.665824,0.9999999968411315,0.9460385307788942,0.7916071772989937,0.02175033158522986,0.745869049938242,0.8298368855590819,0.022188770720989234
normal,223.331649,2.000000002637554,1.8920770700298393,1.0057195679411746,0.02780465001991691,0.9515955735533433,1.0596850743681785,0.013143007188975278
normal,334.997473,2.999999999478686,2.8381156008087336,1.0560853888119432,0.03222168404596064,0.9965900359297668,1.1220076971525983,0.0076549783780265526
normal,558.329122,5.00000000211624,4.730192670838573,1.006507109271003,0.03685743337511173,0.9375535860892302,1.0828203922509176,0.004175880621277244
normal,781.66077,6.999999995798503,6.622269732396361,1.0235892662412651,0.031522317261504486,0.9649533233053029,1.0859975831429034,0.0037990202325647593
normal,1116.658244,10.00000000423248,9.460385341677146,0.9521500983514479,0.03167362253584027,0.8862744475941536,1.0108790382500625,0.004689007520894906
