medium,analog,estimator,razon_est_sobre_ana,vs_homogeneo_est
Homogeneous,3.1780798470350016,778.221952672,244.871743357249,1.0
Mixture,3.3209817365209893,8821.939868638001,2656.4252888303245,11.336020319586403
Bilayer,10.549165267735995,2608.9824596379767,247.31648366694915,3.3524914719767533
