medium,D_rms,sigma_esperada,razon,sesgo_cota,sesgo_rel,z_mediano,frac_fuera,n_bins
Homogeneous,0.04512045836638585,0.04719214031037752,0.9561011233996498,0.0,0.0,0.712742903385754,0.053691275167785234,298
Mixture,0.022264592864138396,0.023972840397654495,0.9287423807450353,0.0,0.0,0.7444000383761862,0.043478260869565216,299
Bilayer,0.04046501881832795,0.04088037991741267,0.9898395978725287,0.0,0.0,0.8283245017882054,0.07357859531772576,299
