medium,sigma_objetivo,N_analog,T_analog_h,N_est_equiv,T_est_equiv_h,ganancia_N,ganancia_T
Homogeneous,0.030992234713556117,1000000000,0.8827999575097227,1217.653491431376,0.0002632235216054455,821251.7001240476,3353.8034599847842
Mixture,0.017971310756363327,1000000000,0.9224949268113859,555.246049353957,0.0013606520165831712,1801003.3590757207,677.9800533628927
Bilayer,0.03389923715591109,1000000000,2.930323685482221,17446.080337442047,0.012643477108283691,57319.46549929854,231.76564962199726
