order,polarization,d_over_ls,S,ci95,n_valid
normal,linear,1.0000015729724234e-05,7.102661303405695,0.4685094265375063,5
normal,linear,0.10000000004232482,7.769673167228167,0.6660341186717574,5
normal,linear,0.2500000000162591,9.13566972422648,0.3693685720192228,5
normal,linear,0.5000000000325182,11.155645488126579,0.6113868248879712,5
normal,linear,0.9999999999754834,10.86584501897617,0.7749250552822735,5
normal,linear,2.00000000004052,8.303087855212116,0.29189997186983563,5
normal,linear,3.000000000016003,7.096196066493945,0.15822040611270058,5
normal,linear,4.99999999996697,7.0291556992693796,0.4033745871381615,5
normal,linear,7.00000000000749,7.158600602548935,0.2717058635951413,5
normal,linear,10.000000000023492,7.317650642904002,0.13619108566524477,5
normal,circular,1.0000015729724234e-05,4.029752678045349,0.16095305350612055,5
normal,circular,0.10000000004232482,4.376618442182981,0.1525245424289758,5
normal,circular,0.2500000000162591,4.870100751099847,0.2968471385432808,5
normal,circular,0.5000000000325182,5.452974206123953,0.22722360605944036,5
normal,circular,0.9999999999754834,5.981994745021477,0.2826006145553664,5
normal,circular,2.00000000004052,5.717437826866678,0.11616642540218726,5
normal,circular,3.000000000016003,5.233071324751741,0.3889921911133895,5
normal,circular,4.99999999996697,4.602910338291656,0.21443528649088828,5
normal,circular,7.00000000000749,4.6516371743397515,0.1931024547665675,5
normal,circular,10.000000000023492,4.56253681193079,0.086456570404769,5
inverse,linear,1.0000015729724234e-05,7.303333108251039,0.5060433263631557,5
inverse,linear,0.10000000004232482,7.2974945877477095,0.24800442916201557,5
inverse,linear,0.2500000000162591,6.528024784783151,0.32811928704217197,5
inverse,linear,0.5000000000325182,5.755572573228678,0.2933319686745855,5
inverse,linear,0.9999999999754834,5.305763563852681,0.28001208386768023,5
inverse,linear,2.00000000004052,5.579718947869128,0.2744570106385051,5
inverse,linear,3.000000000016003,6.0219478936651925,0.3687569097058767,5
inverse,linear,4.99999999996697,6.5434242159895275,0.33708135949822093,5
inverse,linear,7.00000000000749,7.058887586243138,0.3834958592698181,5
inverse,linear,10.000000000023492,7.028358120588626,0.5538040955980406,5
inverse,circular,1.0000015729724234e-05,4.626200074052242,0.30561279660921664,5
inverse,circular,0.10000000004232482,4.494638248798902,0.18665261790734888,5
inverse,circular,0.2500000000162591,4.184684785785398,0.22234014558945797,5
inverse,circular,0.5000000000325182,3.982568946119234,0.14570094051413576,5
inverse,circular,0.9999999999754834,3.620729461511227,0.16229182723624297,5
inverse,circular,2.00000000004052,3.513859960631821,0.08527481718272861,5
inverse,circular,3.000000000016003,3.7031541696587573,0.09908618174811078,5
inverse,circular,4.99999999996697,3.848620106213134,0.09852748772716985,5
inverse,circular,7.00000000000749,4.039720387876653,0.05839673731840394,5
inverse,circular,10.000000000023492,4.044837153212525,0.0715060207387353,5
