order,polarization,species,S,ci95,n_valid
normal,linear,small,7.470151381147815,0.15112390636438974,5
normal,linear,large,7.120475928893292,0.2769628320770472,5
normal,circular,small,4.753220902234537,0.3239575984521617,5
normal,circular,large,4.06091976230614,0.16763703165430524,5
inverse,linear,small,7.40400114901193,0.2554515381897918,5
inverse,linear,large,7.175597669478942,0.24317908205581953,5
inverse,circular,small,4.7648404733324,0.3104110597407023,5
inverse,circular,large,4.066047465707418,0.1683766951932786,5
