family,parameter,S
one_scale,0.45,6.042473532222514
one_scale,0.65,6.042865941496352
one_scale,0.9,6.04302082917714
one_scale,1.2,6.043081096070137
one_scale,1.55,6.043125319316737
two_scale,0.0,6.04247353222253
two_scale,0.25,6.939891726718382
two_scale,0.5,7.536523830709252
two_scale,0.75,7.193278185703933
two_scale,1.0,6.043125319316753
