order,d_over_ls,l_star_substrate_true,l_star_substrate_hat,ci_low,ci_high,relative_error,valid_bootstrap_fraction,hat_plateau_15pct,hat_plateau_25pct
normal,0.09999999610199657,215.30572634062824,221.25852430851748,182.48853007422127,270.33293931883657,0.027648117256628524,1.0,223.1703285174977,220.9291716908649
normal,0.24999999921028287,215.30572634062824,221.44050118199945,179.26396931801258,254.78694926669246,0.028493319456193156,1.0,224.2238266835621,217.46202213866658
normal,0.49999999842056575,215.30572634062824,215.65558497330517,185.759966407559,255.5230208056206,0.0016249388189677472,1.0,219.56613410942055,214.1165435581435
inverse,0.09999999610199657,118.13491225503927,105.25863599650486,85.62471701247364,125.37825781094823,-0.10899636705816529,1.0,109.80284485721295,107.49473089089355
inverse,0.24999999921028287,118.13491225503927,114.51203648546216,90.4156205620584,136.72250298458627,-0.030667274393498034,1.0,116.56341398236563,111.68924758609693
inverse,0.49999999842056575,118.13491225503927,109.97200241967153,90.59548047455087,132.4509238884245,-0.0690982003503332,1.0,110.22906836139597,110.10042285205954
