order,n_thicknesses,l_star_substrate_true,pooled_hat,pooled_ci_low,pooled_ci_high,pooled_relative_error,pooled_hat_plateau_15pct,pooled_hat_plateau_25pct,plateau_window_relative_range
normal,3,215.30572634062824,221.25852430851748,188.523454856076,251.91208295724735,0.027648117256628524,223.1703285174977,217.46202213866658,0.02579926082699344
inverse,3,118.13491225503927,109.97200241967153,92.68112788884459,126.66814451507089,-0.0690982003503332,110.22906836139597,110.10042285205954,0.0023375580699480395
